weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
314,"{'top_left': 0, 'top_right': 0, 'bottom_left': 116, 'bottom_right': 198}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.2230769230769231, 'bottom_right': 0.38076923076923075}","(22.063694267515924, 41.48407643312102)","(0.5657357504491263, 0.7977707006369427)","(45.593695484603835, 96.75390482372511)","(0.016231290667356294, 0.060471190514828195)"
150,"{'top_left': 0, 'top_right': 0, 'bottom_left': 86, 'bottom_right': 64}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.36752136752136755, 'bottom_right': 0.27350427350427353}","(8.933333333333334, 40.60666666666667)","(0.5254901960784314, 0.780897435897436)","(52.185288888888884, 14.78222222222222)","(0.018577888532890312, 0.045624142661179694)"
251,"{'top_left': 0, 'top_right': 0, 'bottom_left': 121, 'bottom_right': 130}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3324175824175824, 'bottom_right': 0.35714285714285715}","(13.645418326693227, 42.37848605577689)","(0.505385863951601, 0.8149708856880171)","(41.047983365343406, 47.60733956603864)","(0.01461302362596775, 0.06072364740566153)"
397,"{'top_left': 0, 'top_right': 0, 'bottom_left': 201, 'bottom_right': 196}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.42948717948717946, 'bottom_right': 0.4188034188034188}","(17.486146095717885, 39.085642317380355)","(0.49960417416336816, 0.75164696764193)","(48.818861867025355, 84.49665945472655)","(0.0173794453068798, 0.0651980397027211)"
228,"{'top_left': 0, 'top_right': 0, 'bottom_left': 125, 'bottom_right': 103}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3434065934065934, 'bottom_right': 0.28296703296703296}","(13.824561403508772, 39.62719298245614)","(0.493734335839599, 0.7620614035087718)","(48.198734225915665, 44.83764235149277)","(0.01715868074970298, 0.05331467580439093)"
204,"{'top_left': 0, 'top_right': 0, 'bottom_left': 93, 'bottom_right': 111}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3974358974358974, 'bottom_right': 0.47435897435897434}","(9.063725490196079, 40.5735294117647)","(0.5035403050108933, 0.780260180995475)","(47.24459342560554, 22.638095924644368)","(0.01681900798348364, 0.0627094069934747)"
245,"{'top_left': 0, 'top_right': 0, 'bottom_left': 145, 'bottom_right': 100}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3983516483516483, 'bottom_right': 0.27472527472527475}","(13.8, 38.351020408163265)","(0.5111111111111112, 0.737519623233909)","(45.31351936693044, 47.32734693877551)","(0.016131548368433765, 0.06036651395251979)"
191,"{'top_left': 0, 'top_right': 0, 'bottom_left': 124, 'bottom_right': 67}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3974358974358974, 'bottom_right': 0.21474358974358973}","(10.44502617801047, 42.50785340314136)","(0.454131572956977, 0.81745871929118)","(51.872974973273756, 31.59776321921)","(0.018466705223664562, 0.05485722781112848)"
238,"{'top_left': 0, 'top_right': 0, 'bottom_left': 112, 'bottom_right': 126}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3916083916083916, 'bottom_right': 0.4405594405594406}","(11.050420168067227, 41.59243697478992)","(0.5022918258212375, 0.7998545572074984)","(48.4431360779606, 27.375609067156276)","(0.01724568746100413, 0.05174973358630676)"
324,"{'top_left': 0, 'top_right': 0, 'bottom_left': 163, 'bottom_right': 161}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.4478021978021978, 'bottom_right': 0.4423076923076923}","(13.589506172839506, 39.641975308641975)","(0.5033150434385002, 0.7623456790123456)","(54.06934918457552, 74.7481614845298)","(0.019248611315263623, 0.09534204270985944)"
