weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
189,"{'top_left': 0, 'top_right': 0, 'bottom_left': 101, 'bottom_right': 88}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.404, 'bottom_right': 0.352}","(9.19047619047619, 40.06349206349206)","(0.48370927318295737, 0.8012698412698412)","(38.35575711766188, 14.979591836734693)","(0.0147465425288973, 0.03744897959183673)"
234,"{'top_left': 0, 'top_right': 0, 'bottom_left': 119, 'bottom_right': 115}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.31733333333333336, 'bottom_right': 0.30666666666666664}","(14.88888888888889, 40.58119658119658)","(0.4962962962962963, 0.8116239316239315)","(27.24340711520199, 75.5346628679962)","(0.010474204965475582, 0.07860006541935088)"
262,"{'top_left': 0, 'top_right': 0, 'bottom_left': 131, 'bottom_right': 131}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.34933333333333333, 'bottom_right': 0.34933333333333333}","(14.5, 35.61068702290076)","(0.5, 0.7122137404580152)","(38.45148884097663, 47.68511450381679)","(0.014783348266427002, 0.052983460559796434)"
310,"{'top_left': 0, 'top_right': 0, 'bottom_left': 155, 'bottom_right': 155}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.41333333333333333, 'bottom_right': 0.41333333333333333}","(14.490322580645161, 37.19032258064516)","(0.4996662958843159, 0.7438064516129032)","(48.057325702393335, 46.63700312174819)","(0.018476480469970524, 0.05181889235749799)"
226,"{'top_left': 0, 'top_right': 0, 'bottom_left': 107, 'bottom_right': 119}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3890909090909091, 'bottom_right': 0.43272727272727274}","(11.035398230088495, 37.88053097345133)","(0.501609010458568, 0.7576106194690265)","(44.30873600125304, 27.04299475291722)","(0.01703526951220801, 0.051120973067896446)"
293,"{'top_left': 0, 'top_right': 0, 'bottom_left': 104, 'bottom_right': 189}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.21894736842105264, 'bottom_right': 0.39789473684210525}","(21.419795221843003, 40.25255972696246)","(0.5789133843741352, 0.8050511945392492)","(40.22290300411187, 89.37667299560857)","(0.015464399463326364, 0.0618952029055461)"
140,"{'top_left': 0, 'top_right': 0, 'bottom_left': 64, 'bottom_right': 76}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.32, 'bottom_right': 0.38}","(8.6, 39.0)","(0.5375, 0.78)","(48.1, 12.411428571428571)","(0.01849288735101884, 0.042946119624320316)"
229,"{'top_left': 0, 'top_right': 0, 'bottom_left': 104, 'bottom_right': 125}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.32, 'bottom_right': 0.38461538461538464}","(13.34934497816594, 40.74235807860262)","(0.5134363453140746, 0.8148471615720524)","(37.51003985431246, 44.9347266451822)","(0.014421391716383106, 0.061638856852101784)"
363,"{'top_left': 0, 'top_right': 0, 'bottom_left': 179, 'bottom_right': 184}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.4211764705882353, 'bottom_right': 0.4329411764705882}","(16.958677685950413, 37.47382920110193)","(0.49878463782207094, 0.7494765840220385)","(44.50275861545584, 77.03685995947454)","(0.017109864904058376, 0.06288723261997922)"
212,"{'top_left': 0, 'top_right': 0, 'bottom_left': 136, 'bottom_right': 76}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.38857142857142857, 'bottom_right': 0.21714285714285714}","(13.297169811320755, 38.06132075471698)","(0.4924877707896576, 0.7612264150943396)","(44.62359825560697, 42.40697312210751)","(0.017156323819918096, 0.05409052694146366)"
188,"{'top_left': 0, 'top_right': 0, 'bottom_left': 94, 'bottom_right': 94}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.4177777777777778, 'bottom_right': 0.4177777777777778}","(8.329787234042554, 39.079787234042556)","(0.48998748435544437, 0.7815957446808511)","(43.03086803983703, 20.029538252602986)","(0.016543970795785096, 0.06181956250803391)"
236,"{'top_left': 0, 'top_right': 0, 'bottom_left': 136, 'bottom_right': 100}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.41846153846153844, 'bottom_right': 0.3076923076923077}","(13.161016949152541, 36.92796610169491)","(0.5061929595827901, 0.7385593220338983)","(40.99057382935938, 44.93170066072968)","(0.015759543955924406, 0.061634705981796545)"
172,"{'top_left': 0, 'top_right': 0, 'bottom_left': 113, 'bottom_right': 59}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.4109090909090909, 'bottom_right': 0.21454545454545454}","(9.813953488372093, 40.78488372093023)","(0.44608879492600423, 0.8156976744186046)","(48.029306381828015, 26.697944835045973)","(0.01846570795149097, 0.0504687047921474)"
226,"{'top_left': 0, 'top_right': 0, 'bottom_left': 108, 'bottom_right': 118}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3927272727272727, 'bottom_right': 0.4290909090909091}","(10.964601769911505, 40.11946902654867)","(0.4983909895414321, 0.8023893805309734)","(44.30873600125304, 27.04299475291722)","(0.01703526951220801, 0.051120973067896446)"
304,"{'top_left': 0, 'top_right': 0, 'bottom_left': 151, 'bottom_right': 153}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.4646153846153846, 'bottom_right': 0.4707692307692308}","(13.013157894736842, 38.016447368421055)","(0.5005060728744939, 0.760328947368421)","(48.43722948407203, 68.67087950138503)","(0.01862254113190005, 0.09419873731328536)"
391,"{'top_left': 0, 'top_right': 0, 'bottom_left': 237, 'bottom_right': 154}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.49894736842105264, 'bottom_right': 0.32421052631578945}","(16.55242966751918, 38.9539641943734)","(0.4355902544083995, 0.7790792838874679)","(40.23317482224737, 91.36234064403033)","(0.015468348643693721, 0.060067285104556424)"
290,"{'top_left': 7, 'top_right': 11, 'bottom_left': 106, 'bottom_right': 166}","{'top_left': 0.019886363636363636, 'top_right': 0.03125, 'bottom_left': 0.30113636363636365, 'bottom_right': 0.4715909090909091}","(11.224137931034482, 44.0448275862069)","(0.5101880877742947, 0.6882004310344828)","(83.85661117717004, 24.767003567181927)","(0.019847718621815395, 0.04681853226310383)"
167,"{'top_left': 0, 'top_right': 0, 'bottom_left': 102, 'bottom_right': 65}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3709090909090909, 'bottom_right': 0.23636363636363636}","(11.011976047904191, 40.964071856287426)","(0.5005443658138269, 0.8192814371257485)","(47.615475635555235, 21.017820646132886)","(0.018306603473877445, 0.03973122995488258)"
252,"{'top_left': 6, 'top_right': 8, 'bottom_left': 116, 'bottom_right': 122}","{'top_left': 0.01818181818181818, 'top_right': 0.024242424242424242, 'bottom_left': 0.3515151515151515, 'bottom_right': 0.3696969696969697}","(11.047619047619047, 41.37698412698413)","(0.5021645021645021, 0.6896164021164021)","(72.7824861426052, 33.029478458049894)","(0.019559926402205104, 0.062437577425425134)"
306,"{'top_left': 0, 'top_right': 0, 'bottom_left': 174, 'bottom_right': 132}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3663157894736842, 'bottom_right': 0.27789473684210525}","(19.58169934640523, 39.63725490196079)","(0.5153078775369797, 0.7927450980392158)","(54.85207612456748, 106.13221410568585)","(0.02108884126280949, 0.06977791854417216)"
